clave,title,duration,poster,type,popindex
s1,The Big Bang Theory,22 minutos por episodio,bang,Live action,5
s2,The Boys,55 minutos por episodio,boys,Live action,10
s3,Breaking Bad,47 minutos por episodio,breaking,Live action,15
s4,Brooklyn Nine-Nine,22 minutos por episodio,brooklyn,Live action,3
s5,The IT crowd,25 minutos por episodio,crowd,Live action,12
s6,CSI New York,43 minutos por episodio,csi,Live action,7
s7,Death Note,24 minutos por episodio,death,Animaci贸n,18
s8,F.r.i.e.n.d.s.,22 minutos por episodio,friends,Live action,6
s9,Futurama,22 minutos por episodio,futurama,Animaci贸n,11
s10,Dr. House,44 minutos por episodio,house,Live action,9
s11,Miraculous Ladybug,22 minutos por episodio,ladybug,Animaci贸n,4
s12,The Mandalorian,40 minutos por episodio,mandalorian,Live action,14
s13,The Mentalist,43 minutos por episodio,mentalist,Live action,2
s14,The Office,22 minutos por episodio,office,Live action,17
s15,Perception,42 minutos por episodio,perception,Live action,8
s16,Seinfeld,22 minutos por episodio,seinfield,Live action,19
s17,Sherlock,88 minutos por episodio,sherlock,Live action,13
s18,South Park,22 minutos por episodio,southpark,Animaci贸n,21
s19,Game of Thrones,57 minutos por episodio,thrones,Live action,16
s20,Vikings,44 minutos por episodio,vikings,Live action,20
s21,Walker Texas Rangers,32 minutos por episodio,texas,Live action,1
